Nome,Voto_Effetto,Voto_Sapore,Caratteristiche Principali
"Bacopa, Ginkgo Biloba, Rodiola Rosea",0,0,
"Bacopa, Ginkgo Biloba, Té nero",0,0,
"Bacopa, Ginkgo Biloba, Té verde",0,0,
"Bacopa, Ginkgo Biloba, Yerba Mate",0,0,
"Bacopa, Ginseng, Ilex Guayasa",0,0,
"Bacopa, Ginseng, Moringa",0,0,
"Bacopa, Ginseng, Rodiola Rosea",0,0,
"Bacopa, Ginseng, Té nero",0,0,
"Bacopa, Ginseng, Té verde",0,0,
"Bacopa, Ginseng, Yerba Mate",0,0,
"Bacopa, Ilex Guayasa, Moringa",0,0,
"Bacopa, Ilex Guayasa, Rodiola Rosea",0,0,
"Bacopa, Ilex Guayasa, Té nero",0,0,
"Bacopa, Ilex Guayasa, Té verde",0,0,
"Bacopa, Ilex Guayasa, Yerba Mate",0,0,
"Bacopa, Moringa, Rodiola Rosea",0,0,
"Bacopa, Moringa, Té nero",0,0,
"Bacopa, Moringa, Té verde",0,0,
"Bacopa, Moringa, Yerba Mate",0,0,
"Bacopa, Rodiola Rosea, Té nero",0,0,
"Bacopa, Rodiola Rosea, Té verde",0,0,
"Bacopa, Rodiola Rosea, Yerba Mate",0,0,
"Bacopa, Té nero, Té verde",0,0,
"Bacopa, Té nero, Yerba Mate",0,0,
"Bacopa, Té verde, Yerba Mate",0,0,
"Bobinsana, Efedra, Fagiolo Vellutato",0,0,
"Bobinsana, Efedra, Ginkgo Biloba",0,0,
"Bobinsana, Efedra, Ginseng",0,0,
"Bobinsana, Efedra, Ilex Guayasa",0,0,
"Bobinsana, Efedra, Moringa",0,0,
"Bobinsana, Efedra, Rodiola Rosea",0,0,
"Bobinsana, Efedra, Té nero",0,0,
"Bobinsana, Efedra, Té verde",0,0,
"Bobinsana, Efedra, Yerba Mate",0,0,
"Bobinsana, Fagiolo Vellutato, Ginkgo Biloba",0,0,
"Bobinsana, Fagiolo Vellutato, Ginseng",0,0,
"Bobinsana, Fagiolo Vellutato, Ilex Guayasa",0,0,
"Bobinsana, Fagiolo Vellutato, Moringa",0,0,
"Bobinsana, Fagiolo Vellutato, Rodiola Rosea",0,0,
"Bobinsana, Fagiolo Vellutato, Té nero",0,0,
"Bobinsana, Fagiolo Vellutato, Té verde",0,0,
"Bobinsana, Fagiolo Vellutato, Yerba Mate",0,0,
"Bobinsana, Ginkgo Biloba, Ginseng",0,0,
"Bobinsana, Ginkgo Biloba, Ilex Guayasa",0,0,
"Bobinsana, Ginkgo Biloba, Moringa",0,0,
"Bobinsana, Ginkgo Biloba, Rodiola Rosea",0,0,
"Bobinsana, Ginkgo Biloba, Té nero",0,0,
"Bobinsana, Ginkgo Biloba, Té verde",0,0,
